ligand,affinity_kcal_per_mol,dock_rank,prob_active,cls_rank,pred_pIC50,reg_rank,consensus_score
caryophyllene,-7.196,149.0,0.3758036379524681,62.0,5.600718066169337,53.0,112.4
lupeol,-7.925,112.0,0.3258418699285411,86.0,5.260024593391844,143.0,113.0
toussaintine,-8.292,88.0,0.232201727045918,126.0,5.228123103030823,176.0,113.2
toussaintine,-8.292,88.0,0.232201727045918,126.0,5.228123103030823,176.0,113.2
toussaintine,-8.292,88.0,0.232201727045918,126.0,5.228123103030823,176.0,113.2
toussaintine,-8.292,88.0,0.232201727045918,126.0,5.228123103030823,176.0,113.2
cleistodiendiol,-7.491,132.0,0.3692789573435673,69.0,5.399132037725332,101.0,113.2
methyl,-6.711,165.0,0.5038741652743562,16.0,5.578149785909735,56.0,113.4
cleistodienol,-7.741,123.0,0.2732392735180274,110.0,5.441585496816109,94.0,114.6
caryophyllene,-7.196,149.0,0.3967899285358152,50.0,5.497976037949634,84.0,116.19999999999999
cleistodienol,-7.741,123.0,0.3399070559443322,81.0,5.2708677166788105,137.0,117.4
monathadiepoxide,-8.908,71.0,0.3375,83.0,5.032750549740075,293.0,117.80000000000001
caryophyllene,-7.196,149.0,0.3758036379524681,62.0,5.497976037949634,84.0,118.6
uvaretin,-8.414,81.0,0.3725628711435949,66.0,5.070672230720216,286.0,119.0
methyl,-6.711,165.0,0.3764485945211553,61.0,5.578149785909735,56.0,122.4
methyl,-6.711,165.0,0.5038741652743562,16.0,5.382600598785914,104.0,123.0
cleistodienol,-7.741,123.0,0.2732392735180274,110.0,5.2708677166788105,137.0,123.2
uvaretin,-8.414,81.0,0.321173590406604,88.0,5.070672230720216,286.0,123.4
toussaintine,-8.292,88.0,0.3444799337408433,79.0,5.13321237494096,274.0,123.4
N-methoxy-5-oxoaporphinoid,-9.118,58.0,0.2475,119.0,4.978180123498667,326.0,123.8
epimonanthadiepoxide,-8.806,74.0,0.3630470059424044,74.0,4.996207599949191,324.0,124.0
methyl,-6.711,165.0,0.3664578813636479,73.0,5.578149785909735,56.0,124.8
methyl,-6.711,165.0,0.3598775645475476,75.0,5.578149785909735,56.0,125.2
methyl,-6.711,165.0,0.3469478209766328,78.0,5.578149785909735,56.0,125.8
uvaretin,-8.414,81.0,0.3725628711435949,66.0,5.01051286452561,320.0,125.80000000000001
epimonanthadiepoxide,-8.806,74.0,0.3305470059424044,84.0,4.996207599949191,324.0,126.0
toussaintine,-8.292,88.0,0.2930912618221961,96.0,5.13321237494096,274.0,126.80000000000001
toussaintine,-8.292,88.0,0.2910933697067344,97.0,5.13321237494096,274.0,127.0
toussaintine,-8.292,88.0,0.3444799337408433,79.0,5.027909523176189,294.0,127.4
lutein,18.415,200.0,0.4136620709956892,40.0,6.450897184724619,2.0,128.4
toussaintine,-8.292,88.0,0.2638837307001944,112.0,5.13321237494096,274.0,130.0
uvaretin,-8.414,81.0,0.321173590406604,88.0,5.01051286452561,320.0,130.2
3-vinyl-3-methyl-2-isopropenyl-6-isopropyl-cyclohexanone,-6.648,167.0,0.4058654171687194,47.0,5.382632477580969,103.0,130.20000000000002
methyl,-6.711,165.0,0.2802349247737692,102.0,5.578149785909735,56.0,130.6
toussaintine,-8.292,88.0,0.2930912618221961,96.0,5.027909523176189,294.0,130.8
toussaintine,-8.292,88.0,0.2910933697067344,97.0,5.027909523176189,294.0,131.0
intermedeol,-6.785,161.0,0.3541059802724616,76.0,5.440340964463941,96.0,131.0
toussaintine,-8.292,88.0,0.2461394314703129,120.0,5.13321237494096,274.0,131.6
methyl,-6.711,165.0,0.2746539649724242,109.0,5.578149785909735,56.0,132.0
methyl,-6.711,165.0,0.3764485945211553,61.0,5.382600598785914,104.0,132.0
ancistroquinone,-6.845,159.0,0.3178593885843369,89.0,5.428103840262335,97.0,132.6
toussaintine,-8.292,88.0,0.232201727045918,126.0,5.13321237494096,274.0,132.8
toussaintine,-8.292,88.0,0.232201727045918,126.0,5.13321237494096,274.0,132.8
methyl,-6.711,165.0,0.2594819874818359,115.0,5.578149785909735,56.0,133.2
methyl,-6.711,165.0,0.5038741652743562,16.0,5.231886042026357,157.0,133.6
methyl,-6.711,165.0,0.2496172793210616,118.0,5.578149785909735,56.0,133.79999999999998
toussaintine,-8.292,88.0,0.3444799337408433,79.0,4.96327547217561,327.0,134.0
toussaintine,-8.292,88.0,0.2638837307001944,112.0,5.027909523176189,294.0,134.0
cadalene,-7.181,151.0,0.322355940441357,87.0,5.296123590545205,130.0,134.0
methyl,-6.711,165.0,0.3664578813636479,73.0,5.382600598785914,104.0,134.4
methyl,-6.711,165.0,0.3598775645475476,75.0,5.382600598785914,104.0,134.8
methyl,-6.711,165.0,0.2366568610328379,124.0,5.578149785909735,56.0,135.0
toussaintine,-8.292,88.0,0.3444799337408433,79.0,4.924057271848384,334.0,135.39999999999998
